id	address	about	review_name	review_stars	review_count	property_amenities	room_features	room_types	good_to_know
0	9 T rue de Pas, 62217 Wailly France	Featuring a garden and views of garden, Chez Marianne is a recently renovated bed and breakfast located in Wailly, 25 km from Louvre Lens Museum. This bed and breakfast provides air-conditioned accommodation with a terrace and free WiFi.							
1	90 Zagnańska, Kielce 25-524 Poland								
2	Station Rd, Dehri 821305 India								
3	Samanyolu Sk. No: 118 19 Mayis Mah., Istanbul 34360 Türkiye	With its comfortable and intimate design, Comfort Beige boutique hotel is located close to fashion center Nisantasi, which comprises world’s famous brands and also offers easy transportation to Taksim Square and Sultanahmet, the center of culture and history. And also Cevahir, Astoria, Trump Towers, Kanyon, Metrocity, Safir, Istinye Park and Profilo shopping centers are close to the hotel.The Comfort Beige Hotel which combines simplicity and comfort with modern patterns, is an elite alternative with its 5 storeys and 24 rooms and is designed by prominent architects firm Beyazit Mimarlik.Comfort Beige has an excellent location not only for business world but also for our guests visiting Istanbul . The rooms have orthopaedic beds, Led TV, safe deposit box, kettle for complimentary tea and coffee. All rooms are soundproof and free Wi-Fi. The bathrooms are equipped with showers. There are a business center and a conference room for 23 people where the guests may kindly help themselves with the computer, the printer and the scanner.Room service is available for 24 hours. Main restaurant serves a wide range of dishes from the Turkish cuisine. Rich buffet breakfast is served at the terrace restaurant between 08:00 am – 10:30 am.Local bars and cafes are within walking distance. Airport transfer services can be arranged upon request with an additional fee.Osmanbey, Sisli-Mecidiyekoy Metro Stations are 5 minutes of walking distance and offers direct access to famous Taksim Square which is only one stop away. Istanbul Congress and Exhibition Center is only 15 minutes of walking distance.	Very good	4.0	38 reviews	Free High Speed Internet (WiFi) Free breakfast Car hire Business Center with Internet Access Meeting rooms Salon 24-hour security Baggage storage Wifi Bar / lounge Coffee shop Restaurant Snack bar Vending machine Taxi service Concierge Currency exchange Newspaper Non-smoking hotel Shared lounge / TV area Shops ATM on site 24-hour front desk Express check-in / check-out Dry cleaning Laundry service Ironing service	Blackout curtains Soundproof rooms Air conditioning Desk Fireplace Housekeeping Coffee / tea maker Bath / shower Room service Safe Telephone Bottled water Complimentary toiletries Hair dryer	Non-smoking rooms Suites Family rooms	HOTEL STYLE Family Modern Languages Spoken English, Arabic, Turkish
4	Rua Nova Iguacu 340 Maresias, Sao Sebastiao, State of Sao Paulo 11628-222 Brazil	Villa Garden - Suites is an excellent choice for travelers visiting Sao Sebastiao, offering many helpful amenities designed to enhance your stay. Rooms at Villa Garden - Suites provide a refrigerator, a minibar, and a kitchenette. In addition, Villa Garden - Suites offers a pool, which will help make your Sao Sebastiao trip additionally gratifying. And, as an added convenience, there is free parking available to guests. Close to Capela Imaculada Conceição e Santo Expedito (2.5 mi), a popular Sao Sebastiao landmark, Villa Garden - Suites is a great destination for tourists. Travelers looking for pubs can head to Nomiolo Burger &amp; Bar, Santo Gole Maresias, or Quiosque Lima Limao. If you are interested in exploring Sao Sebastiao, check out a waterfall, such as Ribeirao de Itu Falls. Enjoy your stay in Sao Sebastiao!	Very good	3.5	7 reviews	Free parking Free wifi in the business center Pool Beach Canoeing Airport transportation Non-smoking hotel Shared kitchen Outdoor pool Diving Hiking Horseback riding Fishing Shuttle bus service Private check-in / check-out	Air conditioning Kitchenette Microwave Minibar Refrigerator	Non-smoking rooms Suites Family rooms Smoking rooms available	HOTEL CLASS 2.0 of 5 stars HOTEL STYLE Budget Quaint Languages Spoken English, Spanish, Portuguese
5	Rotherstr. 11, 83233 Bernau am Chiemsee, Bavaria Germany	Wir haben einen schönen Urlaub in Ferienwohnung 2 verbracht und uns sehr wohl gefühlt. Die Wohnung ist wie das ganze Apartmenthaus super gepflegt und tiptop sauber. Die Einrichtung der Wohnung ist gemütlich und gut durchdacht. Sehr gute Ausstattung! Die Wohnung ist für vier Personen großzügig geschnitten mit Bad und separatem Gäste WC. Dinge des täglichen Bedarfs wie Spülmittel, Geschirrtücher, Spül- und Waschmaschinenpulver etc. sind auch bereits vorhanden. Parkplätze direkt vorm Haus. Herzliche und hilfsbereite Gastgeber, jederzeit erreichbar. Es hat uns an nichts gefehlt. In der Nähe gibt es verschiedene Einkaufsmöglichkeiten, die man gut zu Fuß erreichen kann ebenso wie Restaurant oder Cafe. Die Umgebung ist geeignet zum Wandern, Fahrradfahren und für Ausflüge in die nahen Berge; der Chiemsee ist mit dem Auto in ca 10 Minuten zu erreichen. Im Ort Bernau gibt es einen Minigolfplatz und ein Schwimmbad. Wir würden jederzeit wieder eine Wohnung im Apartmenthaus Chiemsee Hauszeit buchen und empfehlen diese Adresse gern weiter!	Excellent	5.0	1 review				
6	24, KG 566 st, Kigali 6909 Rwanda	Select Boutique Hotel is a small establishment that attracts international business and leisure travelers that are looking for a unique Rwandan experience and maximum privacy and tranquility. We stand out for our classic beauty decor and our outdoor gardens make one feel deeply connected with the nature that surrounds the hotel. We are strategically located in Kigali, just 5 Kilometers from the Kigali International Airport and only 1 Kilometer from the Kigali International Convention Center. Our restaurant and wine club is highly regarded by Kigalians for it's superb gastronomic cuisine and you can find in our cellars unique wines that are carefully curated from specialty wine houses in the South of France.	Very good	3.5	23 reviews	Free parking Free High Speed Internet (WiFi) Free breakfast Golf course Hiking Free airport transportation Banquet room Meeting rooms Secured parking Wifi Bar / lounge Coffee shop Restaurant Breakfast available Breakfast in the room Complimentary Instant Coffee Complimentary tea Complimentary welcome drink Happy hour Special diet menus Wine / champagne Tennis court Aerobics Aerobics offsite Tennis court offsite Walking tours Nightclub / DJ Airport transportation Car hire Taxi service 24-hour security Baggage storage Concierge Mosquito net Newspaper Non-smoking hotel Outdoor furniture Shared lounge / TV area Sun terrace Sun umbrellas First aid kit Umbrella 24-hour check-in 24-hour front desk Express check-in / check-out Private check-in / check-out Dry cleaning Laundry service Ironing service	Allergy-free room Blackout curtains Air conditioning Desk Minibar Cable / satellite TV Extra long beds Walk-in shower Air purifier Bathrobes Housekeeping Private balcony Room service Safe Seating area Sofa VIP room facilities Wardrobe / closet Bottled water Clothes rack Private bathrooms Tile / marble floor Wake-up service / alarm clock Refrigerator Electric kettle Flatscreen TV Bath / shower Complimentary toiletries Hair dryer	Bridal suite Non-smoking rooms Suites Family rooms Smoking rooms available	HOTEL STYLE Boutique Quiet Languages Spoken English, French, Swahili
7	40 Lake Dobson Rd, Mount Field National Park, Tasmania 7140 Australia	Set on the banks of the Tyenna River at the entrance to Mount Field National Park, Russell Falls Holiday Cottages offers spacious, cottage style accommodation suitable for everyone to enjoy. Only a 15 minute walk to the incredible Russell Falls waterfall.	Very good	4.0	84 reviews	Free parking Breakfast available Complimentary tea Hiking Clothes dryer Self-serve laundry	Air conditioning Kitchenette Microwave Refrigerator Flatscreen TV	Non-smoking rooms	HOTEL STYLE Mid-range Charming
8	110 No. A69-71, Confederation de la Russie Blvd, Phnom Penh Cambodia	Остановился проездом, с целью переночевать перед вылетом на следующий день, ставлю 4, за честность в названии, многие другие заведения при этом себя называют отелями, видно что обстановка требует ремонта и рестайлинга, но персонал приветливый, хотя половина не говорит на английском, белье чистое и без всяких катышков, приятное, тиви и кондиционер работали хорошо, вай фай тоже работает нормально. Рядом есть отель подороже и по интереснее для тех кому цена в 15 долларов покажется не приличной, кстати цена указана на стойке, и не пытались обмануть. Комнаты большие, обстановка и санузлы стандартные для Азии , туалетные принадлежности и водичка выдается. Напротив есть много местных кафе и доя тех кто устал кафе по пиццерия кофе булочки "тор", где я и пишу этот отзыв с сандвичем с пастурмой в компании с капучино.	Very good	3.5	2 reviews	Valet parking Free High Speed Internet (WiFi) Airport transportation Shuttle bus service Car hire Baggage storage 24-hour front desk Laundry service	Air conditioning Desk Seating area Telephone Refrigerator Bath / shower Complimentary toiletries		HOTEL STYLE Luxury Languages Spoken English Property amenities Valet parking Free High Speed Internet (WiFi) Airport transportation Shuttle bus service Car hire Baggage storage 24-hour front desk Laundry service Room features Air conditioning Desk Seating area Telephone Refrigerator Bath / shower Complimentary toiletries
9	2650 Las Vegas Boulevard South, Las Vegas, NV 89109	Daily Resort Charge includes: Guest internet access; stream media to TV from own device; 2, 16 oz. bottles of water per day; 10% off spa retail and treatments; self-parking; sports equipment including basketball, pickle-ball, shuffleboard, ping pong &amp; pool tables. Hilton Grand Vacations on the Las Vegas Strip is located at the north end of the strip and offers studios and one and two-bedroom suites. The resort is a short distance from the Las Vegas Convention Center and convenient to the I-15 Freeway. Five miles from McCarran International Airport, Las Vegas Executive Air Terminal and Signature Flight Support. All the conveniences of home in spacious studios, and one-, two- and three-bedroom suites. Hilton Grand Vacations on the Las Vegas Strip Amenities and Services: *Luxurious non-gaming elegant resort hotel *Heated outdoor swimming pool and whirlpool spa with private cabanas available *Outdoor poolside gas grills with plenty of patio dining areas *On-site Marketplace d	Very good	4.0	7,299 reviews	Electric vehicle charging station Free internet Fitness Center with Gym / Workout Room Pool Bar / lounge Casino and Gambling Game room Kids stay free Valet parking Paid private parking on-site Wifi Hot tub Pool / beach towels Outdoor pool Heated pool Private pool Shallow end in pool Coffee shop Restaurant Breakfast available Complimentary Instant Coffee Complimentary tea Kids' meals Outdoor dining area Snack bar Wine / champagne Vending machine Poolside bar Billiards Patio Table tennis Board games / puzzles Children Activities (Kid / Family Friendly) Highchairs available Pets Allowed ( Dog / Pet Friendly ) Car hire Taxi service Business Center with Internet Access Photo copier / fax In business center Spa 24-hour security BBQ facilities Baggage storage Concierge Convenience store Gift shop Non-smoking hotel Outdoor fireplace Outdoor furniture Picnic area Shared lounge / TV area Sun deck Sun loungers / beach chairs Sun terrace Sun umbrellas ATM on site Doorperson First aid kit 24-hour check-in 24-hour front desk Express check-in / check-out Clothes dryer Dry cleaning Laundry service Self-serve laundry Washing machine	Allergy-free room Blackout curtains Air conditioning Additional bathroom Coffee / tea maker Cable / satellite TV Sofa bed Walk-in shower Soundproof rooms Air purifier Desk Dining area Housekeeping Interconnected rooms available Room service Safe Seating area Separate dining area Separate living room Sofa Telephone Wardrobe / closet Clothes rack Iron Laptop safe Private bathrooms Tile / marble floor Wake-up service / alarm clock Kitchenette Dishwasher Microwave Oven Refrigerator Stovetop Electric kettle Kitchenware Flatscreen TV On-demand movies Radio iPod docking station Whirlpool bathtub Bath / shower Complimentary toiletries Hair dryer	Mountain view City view Landmark view Pool view Non-smoking rooms Suites Family rooms	HOTEL CLASS 4.0 of 5 stars HOTEL STYLE Family City View Languages Spoken English, Spanish, Filipino, Swedish and 1 more
