Jean Lafitte Hotel	Hotels in Texas;National Historic Landmarks in Texas	Jean Lafitte Hotel is a National Register of Historic Places-listed property located at 2105 Church Street in Galveston.																	
The Colony Hotel	Hotels in Palm Beach, Florida;1947 establishments in Florida;Hotels established in 1947	The Colony Hotel (formerly The Golf View) is a historic hotel located at 155 Hammon Ave in Palm Beach, Florida. Founded in 1947 it has been added as a Historic landmark Historic Landmark by the Palm Beach County Preservation Commission. The hotel has been partially continuously owned by the Wetenhall Wetenhall family since 1970. In 2016, Andrew Wetenhall, an investment banker and son of former minority owner Robert C. Wetenhall, and his wife Sarah acquired the property for $12 million.																	
Buxton Inn	Wikipedia Student Program;1812 establishments in Ohio	Buxton Inn is a rural hotel located in Granville, Ohio on the main street, 313 E. Broadway. It was built in 1812 by Orrin Granger, making it one of Ohio's oldest inns. The Buxton Inn currently has 25 lodging rooms that are spread across the 5 houses that make up the inn. It has seen many notable guests pass through including a couple presidents. The Buxton Inn is also infamous for its reports of paranormal activity in the hotel from the workers and guests who have stayed there.																	
Cartoon Network Hotel	Buildings and structures in Lancaster, Pennsylvania;Cartoon Network;Tourist attractions in Lancaster, Pennsylvania;2020 establishments in Pennsylvania;Parques Reunidos	Cartoon Network Hotel is a resort-style hotel located in East Lampeter Township, Pennsylvania. The hotel is managed by Palace Entertainment, who licenses the Cartoon Network name from Cartoon Network owner, Warner Bros. The hotel was Cartoon Network's second entry into the hotel business after the Cartoon Network-branded experience at Hotel Cozzi Ximen Tainan, in Tainan Tainan, Taiwan.																	
Ivy Manor Inn	1936 establishments in Maine;Hotels in Bar Harbor, Maine;Hotels established in 1997;Buildings and structures completed in 1936	Ivy Manor Inn is an inn in Bar Harbor, Maine. It was built as a home in 1936, for local physician Dr Weymouth, and has been an inn since 1997.																	
Bar Harbor Inn	1887 establishments in Maine;Hotels in Bar Harbor, Maine;Hotels established in 1950	Bar Harbor Inn is an inn in Bar Harbor, Maine. It was built in 1887, and has been an inn since 1950.																	
St. George Hotel (Volcano, California)	Hotels in California;National Register of Historic Places in Amador County, California;Greek Revival architecture in California;Buildings and structures completed in 1867	St. George Hotel in Volcano, California Volcano, Amador County, California. It was built in 1867, after the two previous hotels (the Empire Hotel and the George Hotel, originally built as a boarding house in 1852) burned. It was listed on the National Register of Historic Places in 1984.																	
Davies Hotel	Hotels in Colorado;National Register of Historic Places in Prowers County, Colorado;Commercial buildings completed in 1902	Davies Hotel, at 122 N. Main in Lamar, Colorado, was built in 1902.  It was listed on the National Register of Historic Places in 1978.																	
National Hotel (Westcliffe, Colorado)	Hotels in Colorado;National Register of Historic Places in Custer County, Colorado;Romanesque Revival architecture in Colorado;Buildings and structures completed in 1887	National Hotel, also known as the Wolff Building or Hard Time Hotel, is a historic hotel in Westcliffe, Colorado. It was built in 1887 and listed on the National Register of Historic Places in 1987.																	
Hilltop Lodge	Hotels in Albuquerque, New Mexico;Hotel buildings on the National Register of Historic Places in New Mexico;New Mexico State Register of Cultural Properties;National Register of Historic Places in Albuquerque, New Mexico;Hotel buildings completed in 1946;Motels in the United States;U.S. Route 66 in New Mexico;Demolished hotels in the United States;Buildings and structures destroyed in 2003;Demolished buildings and structures in New Mexico;Demolished but still listed on the National Register of Historic Places	Hilltop Lodge was a historic motel on Central Avenue (Albuquerque, New Mexico) Central Avenue (former U.S. Route 66) in Albuquerque, New Mexico Albuquerque, New Mexico, which was notable as one of the best-preserved Route 66 motels remaining in the city. It began as a small three-unit lodging in 1941, and was expanded to 12 units by owner E. H. Stopple in 1946. The property was added to the New Mexico State Register of Cultural Properties in 1997 and the National Register of Historic Places in 1998. The motel was demolished in 2003 after being shut down by the city as a nuisance property. The remainder of the site, including the neon sign, was cleared around 2017 for a realignment of Yucca Drive due to the Albuquerque Rapid Transit project.																	
La Mesa Motel	Hotels in Albuquerque, New Mexico;Hotel buildings on the National Register of Historic Places in New Mexico;New Mexico State Register of Cultural Properties;National Register of Historic Places in Albuquerque, New Mexico;Hotel buildings completed in 1938;Motels in the United States;U.S. Route 66 in New Mexico;Demolished hotels in the United States;Buildings and structures destroyed in 2003;Demolished buildings and structures in New Mexico;Demolished but still listed on the National Register of Historic Places	La Mesa Motel was a historic motel on Central Avenue (Albuquerque, New Mexico) Central Avenue (former U.S. Route 66) in Albuquerque, New Mexico Albuquerque, New Mexico, which was notable as one of the best-preserved prewar Route 66 motels remaining in the city. It was built in 1938 and was added to the New Mexico State Register of Cultural Properties and the National Register of Historic Places in 1993. The building was demolished in March, 2003, and replaced with a larger two-story motel.																	
Hotel Finlen	1924 establishments in Montana;Beaux-Arts architecture in Montana;Hotels in Montana;Hotel buildings completed in 1924	Hotel Finlen is a historic hotel in Butte, Montana, United States, built in 1924.																	
3rd Street Flats	1974 establishments in Nevada;Casino hotels;Casinos completed in 1975;Casinos in Reno, Nevada;Defunct casinos in Nevada;Defunct hotels in Nevada;Hotel buildings completed in 1974;Hotels established in 1974;Hotels in Reno, Nevada;Residential buildings completed in 2016	3rd Street Flats is a mixed-use development project located in downtown Reno, Nevada. It includes 94 apartment units, retail space, and a restaurant. It previously operated as Kings Inn, a hotel and casino. The hotel opened in September 1974, and the casino opened the next year. The casino closed in 1982, following financial issues, and the hotel closed on July 12, 1986, because of fire code violations. Although there were plans to reopen the building, it ultimately sat vacant for the next three decades.																	
Buckeye Building	Bank buildings on the National Register of Historic Places in Ohio;Neoclassical architecture in Ohio;Commercial buildings completed in 1927;Buildings and structures in Downtown Columbus, Ohio;National Register of Historic Places in Columbus, Ohio;1927 establishments in Ohio;Hotels in Columbus, Ohio;Residence Inns by Marriott	Buckeye Building, also known as the Buckeye State Building and Loan Company Building, is a historic building in Downtown Columbus, Ohio. The 16-story building was built from 1926 to 1927. It was the headquarters for the Buckeye State Building and Loan Company, and after 1949 for the Buckeye Federal Savings and Loan Association. It was listed on the National Register of Historic Places in 2004. The building was converted into a hotel, opening as a Marriott Residence Inn in 2008.																	
Highland Hotel	Landmarks in Albuquerque, New Mexico;Hotels in Albuquerque, New Mexico;Defunct hotels in the United States;Hotel buildings completed in 1906;Chicago school architecture in the United States	Highland Hotel, also known as the Hudson Hotel, is a historic hotel building in the Huning Highlands neighborhood of Albuquerque, New Mexico Albuquerque, New Mexico. It was built in 1906 and operated as a hotel until the 1970s. The building was restored and converted to office space in 1983–84. It is notable as one of the few surviving examples of early-20th-century Chicago school (architecture) Commercial Style architecture in the city, which was once common.																	
Sinclair Building (Fort Worth)	Art Deco architecture in Texas;Buildings and structures in Fort Worth, Texas;Buildings and structures completed in 1930;Hotels in Texas;Recorded Texas Historic Landmarks	Sinclair Building (originally the Dulaney Building) is a Zigzag Moderne skyscraper in downtown Fort Worth, Texas. Located on the west corner of Fifth and Main street, the 200-foot-tall, sixteen-story  tower neighbors fellow Art Deco landmarks the Kress Building (Fort Worth, Texas) Kress Building and The Blackstone Hotel Blackstone Hotel. Opened in 1930, the Sinclair has served as office space for a variety of tenants over a number of renovations until 2013, when Sinclair Holdings Group purchased the building with the intention of converting the space into hotel rooms. Currently, the Sinclair operates as an upscale hotel under the Marriott Hotels & Resorts Marriott company's Autograph Collection.																	
